person;activity_number;activity_id;activity_type;start_time;end_time;maximum_duration;link_id;facility_id;coord_x;coord_y
11;3;11_3;h;27104.0;;;1;;-25000.0;0.0
12;1;12_1;h;;21600.0;;1;;-25000.0;0.0
12;2;12_2;w;22700.0;24500.0;;20;;10000.0;0.0
12;3;12_3;h;27104.0;;;1;;-25000.0;0.0
13;1;13_1;h;;21600.0;;1;;-25000.0;0.0
13;2;13_2;w;22689.0;24489.0;;20;;10000.0;0.0
13;3;13_3;h;27093.0;;;1;;-25000.0;0.0
14;1;14_1;h;;21600.0;;1;;-25000.0;0.0
14;2;14_2;w;22689.0;24489.0;;20;;10000.0;0.0
14;3;14_3;h;27093.0;;;1;;-25000.0;0.0
15;1;15_1;h;;21600.0;;1;;-25000.0;0.0
15;2;15_2;w;22689.0;24489.0;;20;;10000.0;0.0
15;3;15_3;h;27093.0;;;1;;-25000.0;0.0
16;1;16_1;h;;21600.0;;1;;-25000.0;0.0
16;2;16_2;w;22678.0;24478.0;;20;;10000.0;0.0
16;3;16_3;h;27082.0;;;1;;-25000.0;0.0
17;1;17_1;h;;21600.0;;1;;-25000.0;0.0
17;2;17_2;w;22678.0;24478.0;;20;;10000.0;0.0
17;3;17_3;h;27082.0;;;1;;-25000.0;0.0
18;1;18_1;h;;21600.0;;1;;-25000.0;0.0
18;2;18_2;w;22635.0;24435.0;;20;;10000.0;0.0
18;3;18_3;h;27039.0;;;1;;-25000.0;0.0
19;1;19_1;h;;21600.0;;1;;-25000.0;0.0
19;2;19_2;w;22678.0;24478.0;;20;;10000.0;0.0
19;3;19_3;h;27082.0;;;1;;-25000.0;0.0
20;1;20_1;h;;21600.0;;1;;-25000.0;0.0
20;2;20_2;w;22667.0;24467.0;;20;;10000.0;0.0
20;3;20_3;h;27071.0;;;1;;-25000.0;0.0
21;1;21_1;h;;21600.0;;1;;-25000.0;0.0
21;2;21_2;w;22522.0;24322.0;;20;;10000.0;0.0
21;3;21_3;h;26662.0;;;1;;-25000.0;0.0
22;1;22_1;h;;21600.0;;1;;-25000.0;0.0
22;2;22_2;w;22667.0;24467.0;;20;;10000.0;0.0
22;3;22_3;h;27071.0;;;1;;-25000.0;0.0
23;1;23_1;h;;21600.0;;1;;-25000.0;0.0
23;2;23_2;w;22667.0;24467.0;;20;;10000.0;0.0
23;3;23_3;h;27071.0;;;1;;-25000.0;0.0
24;1;24_1;h;;21600.0;;1;;-25000.0;0.0
24;2;24_2;w;22532.0;24332.0;;20;;10000.0;0.0
24;3;24_3;h;26672.0;;;1;;-25000.0;0.0
25;1;25_1;h;;21600.0;;1;;-25000.0;0.0
25;2;25_2;w;22657.0;24457.0;;20;;10000.0;0.0
25;3;25_3;h;27061.0;;;1;;-25000.0;0.0
26;1;26_1;h;;21600.0;;1;;-25000.0;0.0
26;2;26_2;w;22657.0;24457.0;;20;;10000.0;0.0
26;3;26_3;h;27061.0;;;1;;-25000.0;0.0
27;1;27_1;h;;21600.0;;1;;-25000.0;0.0
27;2;27_2;w;22528.0;24328.0;;20;;10000.0;0.0
27;3;27_3;h;26668.0;;;1;;-25000.0;0.0
28;1;28_1;h;;21600.0;;1;;-25000.0;0.0
28;2;28_2;w;22635.0;24435.0;;20;;10000.0;0.0
28;3;28_3;h;27039.0;;;1;;-25000.0;0.0
29;1;29_1;h;;21600.0;;1;;-25000.0;0.0
29;2;29_2;w;22523.0;24323.0;;20;;10000.0;0.0
29;3;29_3;h;26663.0;;;1;;-25000.0;0.0
30;1;30_1;h;;21600.0;;1;;-25000.0;0.0
30;2;30_2;w;22524.0;24324.0;;20;;10000.0;0.0
30;3;30_3;h;26664.0;;;1;;-25000.0;0.0
31;1;31_1;h;;21600.0;;1;;-25000.0;0.0
31;2;31_2;w;22657.0;24457.0;;20;;10000.0;0.0
31;3;31_3;h;27061.0;;;1;;-25000.0;0.0
32;1;32_1;h;;21600.0;;1;;-25000.0;0.0
32;2;32_2;w;22521.0;24321.0;;20;;10000.0;0.0
32;3;32_3;h;26661.0;;;1;;-25000.0;0.0
33;1;33_1;h;;21600.0;;1;;-25000.0;0.0
33;2;33_2;w;22646.0;24446.0;;20;;10000.0;0.0
33;3;33_3;h;27050.0;;;1;;-25000.0;0.0
34;1;34_1;h;;21600.0;;1;;-25000.0;0.0
34;2;34_2;w;22646.0;24446.0;;20;;10000.0;0.0
34;3;34_3;h;27050.0;;;1;;-25000.0;0.0
35;1;35_1;h;;21600.0;;1;;-25000.0;0.0
35;2;35_2;w;22646.0;24446.0;;20;;10000.0;0.0
35;3;35_3;h;27050.0;;;1;;-25000.0;0.0
36;1;36_1;h;;21600.0;;1;;-25000.0;0.0
36;2;36_2;w;22517.0;24317.0;;20;;10000.0;0.0
36;3;36_3;h;26657.0;;;1;;-25000.0;0.0
37;1;37_1;h;;21600.0;;1;;-25000.0;0.0
37;2;37_2;w;22517.0;24317.0;;20;;10000.0;0.0
37;3;37_3;h;26657.0;;;1;;-25000.0;0.0
38;1;38_1;h;;21600.0;;1;;-25000.0;0.0
38;2;38_2;w;22520.0;24320.0;;20;;10000.0;0.0
38;3;38_3;h;26660.0;;;1;;-25000.0;0.0
39;1;39_1;h;;21600.0;;1;;-25000.0;0.0
39;2;39_2;w;22635.0;24435.0;;20;;10000.0;0.0
39;3;39_3;h;27039.0;;;1;;-25000.0;0.0
40;1;40_1;h;;21600.0;;1;;-25000.0;0.0
40;2;40_2;w;22624.0;24424.0;;20;;10000.0;0.0
